attribution_title,request,qualified request,OTP verified QR,Reserve Request,Reserve,Entrance,Buy,revenue,QR/Request,Otp/QR,Reserve/OTP,Entrance/Reserve,Buy/OTP verified
affiliate program,709,435,401,302,181,56,15,928000000,61.35,92.18,45.14,30.94,2
Akharinkhodro-banner,4,2,2,1,2,2,0,0,50,100,100,100,0
asanpardakht-icon,1148,458,404,258,108,21,4,50000000,39.9,88.21,26.73,19.44,0.495049505
autoabzar-sms,2,0,0,0,0,0,0,0,0,0,0,0,0
AZKI-sms,2,1,1,1,1,0,0,0,50,100,100,0,0
Azkivam-sms,1,0,0,0,0,0,0,0,0,0,0,0,0
badesaba-banner,6,3,1,0,0,0,0,0,50,33.33,0,0,0
Bale-pin,32,11,9,5,3,0,0,0,34.38,81.82,33.33,0,0
bama-baner,49,29,24,22,9,2,2,28000000,59.18,82.76,37.5,22.22,4.17
blog,1876,567,503,419,130,33,13,351000000,30.22,88.71,25.84,25.38,0.795228628
chatgpt,7,2,2,1,0,0,0,0,28.57,100,0,0,0
chavosh-instagram,2,2,2,2,0,0,0,0,100,100,0,0,0
Chavosh-social media,2597,1140,1035,767,334,99,25,1025000000,43.9,90.79,32.27,29.64,1.16
chavosh-web,19,9,9,8,6,1,0,0,47.37,100,66.67,16.67,0
digikalajet-sms,1,1,1,1,0,0,0,0,100,100,0,0,0
Direct,2073,1204,1106,800,472,154,49,1581000000,58.08,91.86,42.68,32.63,2.53
ecrm-retargeting-m,4,3,3,3,2,1,0,42000000,75,100,66.67,50,0
googleads,927,446,419,319,152,54,14,378000000,48.11,93.95,36.28,35.53,1.91
INTRACK,1615,690,643,400,189,69,17,736000000,42.72,93.19,29.39,36.51,1.4
intrack-incoming call,40,22,21,18,11,3,2,83000000,55,95.45,52.38,27.27,9.52
intrack-web-push,4,1,1,1,0,0,0,0,25,100,0,0,0
Jaryan-inchannel,6251,2350,2013,1201,425,27,11,459000000,37.59,85.66,21.11,6.35,0.298062593
nazarkadeh,5,3,2,1,0,0,0,0,60,66.67,0,0,0
offline-branch,10,10,9,9,9,7,3,121000000,100,90,100,77.78,33.33
offline-offline,836,808,0,0,710,298,88,3494000000,96.65,0,0,41.97,0
organic,11029,6874,6441,4640,2688,1029,349,10927477000,62.33,93.7,41.73,38.28,3.2
pedal-banner,2,2,2,1,1,1,0,0,100,100,50,100,0
pishgam-lba,1,1,1,0,0,0,0,0,100,100,0,0,0
pishgam-sms,1,1,0,0,0,0,0,0,100,0,0,0,0
Pishgam-smsBULK,9,5,5,5,5,1,0,0,55.56,100,100,20,0
pishgam-smsretargeting,2173,1284,1204,657,390,87,12,598000000,59.09,93.77,32.39,22.31,0.747508306
Pump,659,254,218,215,12,1,0,0,38.54,85.83,5.5,8.33,0
sanbuk-inchannel,17,4,4,2,0,0,0,0,23.53,100,0,0,0
Sanbuk-push,3,0,0,0,0,0,0,0,0,0,0,0,0
signal-app,127,69,58,34,10,2,0,0,54.33,84.06,17.24,20,0
signal-banner,1,1,1,0,0,0,0,0,100,100,0,0,0
social-bio,24,14,14,14,5,2,0,0,58.33,100,35.71,40,0
social-owned-bale,7,3,3,2,1,0,0,0,42.86,100,33.33,0,0
Social-owned-instagram,11,7,7,6,5,0,0,0,63.64,100,71.43,0,0
Social-owned-linkedin,1,1,1,0,1,0,0,0,100,100,100,0,0
Social-owned-telegram,11,5,5,4,1,1,0,0,45.45,100,20,100,0
social-paid-instagram,2,0,0,1,0,0,0,0,0,0,0,0,0
social-paid-telegram,3,1,1,0,0,0,0,0,33.33,100,0,0,0
Tapsell-bale,6,2,2,1,1,0,0,0,33.33,100,50,0,0
tapsell-inapp,39,18,16,12,6,1,0,0,46.15,88.89,37.5,16.67,0
Tapsell-khabarvarzeshi,26,11,10,10,4,0,0,0,42.31,90.91,40,0,0
Tapsell-soroushplus,2,2,2,0,0,0,0,0,100,100,0,0,0
tapsell_web_banner,146,122,120,13,3,0,0,0,83.56,98.36,2.5,0,0
Tapsell-web-native,744,366,284,171,76,19,3,110000000,49.19,77.6,26.76,25,1.06
Tapsell-web-RN,1,0,0,1,0,0,0,0,0,0,0,0,0
toolbox-app,79,36,25,12,2,0,0,0,45.57,69.44,8,0,0
toolbox-banner,10,1,1,0,0,0,0,0,10,100,0,0,0
Varzesh3-bannerlivescore,170,87,71,50,18,4,0,0,51.18,81.61,25.35,22.22,0
Varzesh3-preroll,2,1,1,0,0,0,0,0,50,100,0,0,0
Yektanet-action,1957,864,715,631,128,19,8,178000000,44.15,82.75,17.9,14.84,0.41958042
yektanet-bale,7070,3154,2756,1634,722,161,31,1033000000,44.61,87.38,26.2,22.3,0.76
yektanet-balepv,789,375,346,236,114,36,7,178000000,47.53,92.27,32.95,31.58,0.867052023
yektanet-cpa,4,3,1,1,0,0,0,0,75,33.33,0,0,0
yektanet-Divar,5,4,4,3,2,2,1,0,80,100,50,100,25
yektanet-push-targeted,1,1,0,0,0,0,0,0,100,0,0,0,0
yektanet-rubika,1,0,0,0,0,0,0,0,0,0,0,0,0
yektanet-rubikapv,50,19,18,9,5,3,0,0,38,94.74,27.78,60,0
Yelloadwise-icon,808,298,252,182,35,11,7,138000000,36.88,84.56,13.89,31.43,1.59
Yelloadwise-sms,1,1,1,1,0,0,0,0,100,100,0,0,0
Zarebin-icon,1,0,0,1,0,0,0,0,0,0,0,0,0
Total,44213,22088,19201,13088,6979,3224,661,22438477000,49.96,86.93,36.35,31.62,2.06
