attribution_title,request,qualified request,OTP verified QR,Reserve Request,Reserve,Entrance,Buy,revenue,QR/Request,Otp/QR,Reserve/OTP,Entrance/Reserve,Buy/OTP verified
Achareh-sms,1,1,1,1,0,0,0,0,100,100,0,0,0
affiliate program,739,461,434,349,178,93,21,934000000,62.38,94.14,41.01,52.25,4.84
Affilio,1,0,0,1,0,0,0,0,0,0,0,0,0
Akharinkhodro-banner,20,12,11,4,2,1,0,0,60,91.67,18.18,50,0
asanpardakht-icon,1619,612,543,385,111,43,5,253500000,37.8,88.73,20.44,38.74,0.920810313
autoabzar-sms,1,1,1,1,0,0,0,0,100,100,0,0,0
Azkivam-sms,1,1,1,1,0,0,0,0,100,100,0,0,0
badesaba-banner,39,20,11,11,2,1,0,0,51.28,55,18.18,50,0
Bale-pin,25,9,8,7,2,2,1,20000000,36,88.89,25,100,12.5
bama-baner,42,22,20,20,6,4,1,27000000,52.38,90.91,30,66.67,5
blog,2585,820,715,658,175,77,17,864500000,31.72,87.2,24.48,44,2.38
chatgpt,3,3,3,3,1,1,0,0,100,100,33.33,100,0
chavosh-instagram,1,0,0,0,0,0,0,0,0,0,0,0,0
Chavosh-social media,2279,1000,910,739,270,89,12,1014000000,43.88,91,29.67,32.96,1.32
chavosh-web,32,9,6,5,3,2,0,0,28.13,66.67,50,66.67,0
Direct,2575,1522,1427,1164,574,309,55,2552000000,59.11,93.76,40.22,53.83,3.85
ecrm-mediana,2,1,1,1,0,0,0,0,50,100,0,0,0
ecrm-retargeting-m,3,3,3,2,1,1,0,0,100,100,33.33,100,0
googleads,1268,641,598,495,206,96,16,763000000,50.55,93.29,34.45,46.6,2.68
INTRACK,1673,759,714,497,213,122,16,1114000000,45.37,94.07,29.83,57.28,2.24
intrack-incoming call,15,7,7,7,3,2,0,0,46.67,100,42.86,66.67,0
intrack-web-push,5,2,2,1,1,1,0,0,40,100,50,100,0
Jaryan-inchannel,7018,2627,2277,1612,411,101,7,362000000,37.43,86.68,18.05,24.57,0.307422047
nazarkadeh,7,3,3,4,0,0,0,0,42.86,100,0,0,0
offline-branch,19,18,17,18,16,14,1,70000000,94.74,94.44,94.12,87.5,5.88
offline-offline,1288,1241,0,0,958,545,99,5089000000,96.35,0,0,56.89,0
organic,14483,9061,8497,6746,3263,1833,354,18065325000,62.56,93.78,38.4,56.18,4.02
pedal-banner,2,1,1,1,0,0,0,0,50,100,0,0,0
pishgam-sms,33,19,18,10,5,2,1,60000000,57.58,94.74,27.78,40,5.56
Pishgam-smsBULK,19,14,14,7,5,3,1,32000000,73.68,100,35.71,60,7.14
pishgam-smsretargeting,1369,885,838,625,292,143,20,2110000000,64.65,94.69,34.84,48.97,2.39
Pump,402,169,143,150,8,0,0,0,42.04,84.62,5.59,0,0
sanbuk-inchannel,1098,474,440,235,47,15,5,214000000,43.17,92.83,10.68,31.91,1.14
Sanbuk-push,1,1,1,1,0,0,0,0,100,100,0,0,0
sanbuk-soroush push,1,0,0,0,0,0,0,0,0,0,0,0,0
signal-app,154,68,55,42,7,1,0,0,44.16,80.88,12.73,14.29,0
social-bio,15,10,10,11,4,1,1,20000000,66.67,100,40,25,10
social-owned-bale,14,6,6,7,4,0,0,0,42.86,100,66.67,0,0
Social-owned-instagram,2,2,2,2,1,1,0,0,100,100,50,100,0
social-owned-rubika,3,3,3,1,0,0,0,0,100,100,0,0,0
Social-owned-telegram,7,3,2,2,2,1,0,0,42.86,66.67,100,50,0
social-paid-bale,2,0,0,0,0,0,0,0,0,0,0,0,0
Tapsell-bale,35,16,14,7,1,1,0,0,45.71,87.5,7.14,100,0
tapsell-banner,3,2,2,1,0,0,0,0,66.67,100,0,0,0
tapsell-inapp,48,19,14,19,6,3,0,0,39.58,73.68,42.86,50,0
Tapsell-khabarvarzeshi,29,11,8,8,4,3,2,105000000,37.93,72.73,50,75,25
tapsell_web_banner,162,125,119,6,0,0,0,0,77.16,95.2,0,0,0
Tapsell-web-native,738,345,265,201,69,29,3,297000000,46.75,76.81,26.04,42.03,1.13
Tapsell-web-Nativevideo,3,0,0,1,0,0,0,0,0,0,0,0,0
Tapsell-web-NB,1,1,1,0,0,0,0,0,100,100,0,0,0
Tapsell-web-RN,1,1,1,0,1,0,0,0,100,100,100,0,0
toolbox-app,96,40,32,17,4,2,0,0,41.67,80,12.5,50,0
toolbox-banner,10,5,2,3,0,0,0,0,50,40,0,0,0
Varzesh3-bannerlivescore,254,127,108,85,23,12,2,290000000,50,85.04,21.3,52.17,1.85
Varzesh3-preroll,2,1,1,1,0,0,0,0,50,100,0,0,0
Yektanet-action,2273,1006,818,771,88,33,5,299910000,44.26,81.31,10.76,37.5,0.488997555
yektanet-bale,4196,1789,1567,1059,316,112,19,1017000000,42.64,87.59,20.17,35.44,1.15
yektanet-balepv,1187,578,556,409,157,75,8,708000000,48.69,96.19,28.24,47.77,1.26
yektanet-cpa,15,5,2,4,1,1,0,0,33.33,40,50,100,0
yektanet-Divar,9,5,5,3,1,0,0,0,55.56,100,20,0,0
yektanet-rubika,3,2,2,1,0,0,0,0,66.67,100,0,0,0
yektanet-rubikapv,43,16,16,15,3,1,0,0,37.21,100,18.75,33.33,0
Yelloadwice-cpa,211,77,68,58,9,2,0,0,36.49,88.31,13.24,22.22,0
Yelloadwise-icon,1066,382,335,249,51,14,2,149000000,35.83,87.7,15.22,27.45,0.597015
Yelloadwise-sms-ads,1,1,1,1,1,1,0,0,100,100,100,100,0
Zarebin-icon,2,1,0,0,0,0,0,0,50,0,0,0,0
Total,49254,25066,21680,16745,7506,3793,674,36430235000,50.89,86.49,34.62,50.53,3.04
