attribution_title,request,qualified request,OTP verified QR,Reserve Request,Reserve,Entrance,Buy,revenue,Otp/QR,Reserve/OTP,Entrance/Reserve,Buy/OTP verified
Achareh-sms,1,1,1,0,0,0,0,0,100,0,0,0
adverge-native,22,9,8,4,2,0,0,0,88.89,25,0,0
affiliate program,1502,941,875,597,435,179,24,1877000000,92.99,49.71,41.15,2.74
Affilio,2,1,1,1,1,1,0,0,100,100,100,0
Akharinkhodro-banner,20,12,9,8,2,2,1,99000000,75,22.22,100,11.11
asanpardakht-icon,2427,857,729,399,155,40,6,926000000,85.06,21.26,25.81,0.823045
Azkivam-sms,2,0,0,0,0,0,0,0,0,0,0,0
badesaba-banner,360,138,110,69,27,11,2,85000000,79.71,24.55,40.74,1.82
Bale-pin,1903,821,671,311,115,22,1,80000000,81.73,17.14,19.13,0.149031297
bama-baner,409,244,222,121,72,31,4,432400000,90.98,32.43,43.06,1.8
blog,2127,734,614,446,182,69,13,760000000,83.65,29.64,37.91,2.12
chatgpt,4,3,3,1,1,0,0,0,100,33.33,0,0
chavosh-instagram,5,4,3,2,1,0,0,0,75,33.33,0,0
Chavosh-social media,3212,1092,971,566,298,94,11,783000000,88.92,30.69,31.54,1.13
chavosh-web,21,9,6,5,4,1,0,0,66.67,66.67,25,0
digipay-sms,5,5,5,4,1,1,0,0,100,20,100,0
Direct,2388,1525,1387,845,630,321,56,3268000000,90.95,45.42,50.95,4.04
ecrm-mediana,1,1,1,1,1,1,0,0,100,100,100,0
ecrm-retargeting-m,9,5,5,4,2,1,0,0,100,40,50,0
googleads,876,474,438,249,188,80,9,748000000,92.41,42.92,42.55,2.05
INTRACK,1607,693,648,366,201,83,15,814000000,93.51,31.02,41.29,2.31
INTRACK-crawler,9,6,6,3,3,0,0,0,100,50,0,0
intrack-incoming call,85,47,45,21,17,8,2,159000000,95.74,37.78,47.06,4.44
Jaryan-inchannel,6400,2224,1971,1327,284,44,4,177000000,88.62,14.41,15.49,0.202942669
mediana-crawler,1,0,0,0,0,0,0,0,0,0,0,0
not-valid,1,1,0,0,0,0,0,0,0,0,0,0
offline-branch,41,37,34,34,32,30,9,583000001,91.89,94.12,93.75,26.47
offline-offline,1331,1287,0,0,1101,650,119,8741000000,0,0,59.04,0
organic,12310,8003,7354,4567,3240,1622,358,23380500000,91.89,44.06,50.06,4.87
pedal-banner,6,4,3,2,1,1,0,0,75,33.33,100,0
pishgam-lba,1,0,0,1,0,0,0,0,0,0,0,0
Pishgam-smsBULK,34,17,16,10,10,4,1,38000000,94.12,62.5,40,6.25
pishgam-smsretargeting,955,615,557,331,205,87,14,823000000,90.57,36.8,42.44,2.51
Pump,671,239,195,218,11,0,0,0,81.59,5.64,0,0
Sanbuk-push,1,1,1,0,0,0,0,0,100,0,0,0
signal-app,313,131,116,49,17,3,1,24000000,88.55,14.66,17.65,0.862069
social-bio,1,1,1,0,0,0,0,0,100,0,0,0
social-owned-bale,49,31,29,17,13,7,0,36000000,93.55,44.83,53.85,0
social-owned-rubika,1,1,1,1,0,0,0,0,100,0,0,0
Social-owned-telegram,3,3,3,1,2,1,1,33000000,100,66.67,50,33.33
tapsell-balad,5,4,3,2,1,0,0,0,75,33.33,0,0
Tapsell-bale,8999,3917,3290,1862,663,168,20,1649000000,83.99,20.15,25.34,0.607902736
tapsell-inapp,975,362,248,192,42,9,1,57000000,68.51,16.94,21.43,0.403225806
Tapsell-soroushplus,5,2,1,1,0,0,0,0,50,0,0,0
tapsell_web_banner,3,0,0,0,0,0,0,0,0,0,0,0
Tapsell-web-native,472,200,142,107,36,12,2,99000000,71,25.35,33.33,1.41
tapsell_web-retargeting,1,1,1,0,0,0,0,0,100,0,0,0
Tapsell-web-RN,1,0,0,0,0,0,0,0,0,0,0,0
Tapsell_web-varzesh3,1,0,0,0,0,0,0,0,0,0,0,0
toolbox-app,37,11,9,4,0,0,0,0,81.82,0,0,0
toolbox-banner,238,70,53,33,8,4,0,0,75.71,15.09,50,0
Yektanet-action,13171,5379,4527,2633,984,267,28,1831069000,84.16,21.74,27.13,0.618511155
yektanet-bale,757,319,292,175,67,14,3,113000000,91.54,22.95,20.9,1.03
yektanet-balepv,794,354,325,189,83,31,5,239000000,91.81,25.54,37.35,1.54
yektanet-cpa,11,2,2,2,0,0,0,0,100,0,0,0
yektanet-cpc,3,3,3,0,1,0,0,0,100,33.33,0,0
yektanet-display-targeted,1,0,0,0,0,0,0,0,0,0,0,0
yektanet-Divar,11,7,7,7,2,0,0,0,100,28.57,0,0
yektanet-iranjib,25,12,11,3,5,0,0,0,91.67,45.45,0,0
yektanet-push-targeted,2,0,0,0,0,0,0,0,0,0,0,0
yektanet-rubika,19,6,6,3,2,0,0,0,100,33.33,0,0
yektanet-rubikapv,162,70,64,47,21,8,1,18000000,91.43,32.81,38.1,1.56
yektanet-sms,2,1,1,0,0,0,0,0,100,0,0,0
yektanet-video,98,41,24,15,2,1,0,0,58.54,8.33,50,0
yektanet-video retargeting,6,5,0,0,0,0,0,0,0,0,0,0
Yelloadwise-icon,2299,789,688,389,105,28,4,248000000,87.2,15.26,26.67,0.581395349
Yelloadwise-sms-ads,4,2,2,1,0,0,0,0,100,0,0,0
Zarebin-icon,147,37,28,18,1,1,0,0,75.68,3.57,100,0
null,154,49,37,33,7,1,0,0,75.51,18.92,14.29,0
Total,67519,31860,27103,16297,9284,3938,715,48120969001,84.13,34.64,42.42,2.67
