,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
فروش,فروش خودرو,36,5.0,57,1.5,926,3.1,"2,431",3.1,"3,673",3.8,"5,222",4.6,"3,484",5.7,"3,696",5.4,"3,400",5.2,"2,623",5.6,"2,659",5.1,"2,319",5.5,"2,183",4.9,"2,598",5.3,"2,125",4.6
فروش,فروش ماشین,13,2.4,11,4.1,337,2.3,738,2.5,959,3.2,"1,157",3.7,886,4.5,"1,099",4.2,796,3.8,745,4.4,655,4.3,700,4.4,544,4.3,560,4.5,537,4.8
فروش,فروش خودرو کارکرده,3,1.7,3,1.0,51,1.2,98,1.1,166,2.3,149,2.9,140,3,160,2.2,193,2.4,198,2.3,220,2.1,243,2.3,196,2.6,193,2.4,138,2.3
فروش,فروش فوری خودرو,5,1.0,5,1.0,122,1.1,228,1,339,1.1,555,2,423,1,330,1,399,1,345,1.4,310,1.5,287,1.6,221,1.5,229,1.4,151,1.2
فروش,فروش فوری خودرو کارکرده,2,1.0,3,1.0,43,1.1,96,1.1,136,1.1,175,1.1,155,1.1,132,1.1,160,1.1,176,1.2,158,1.3,243,1.4,172,1.3,261,1.3,153,1.3
فروش,فروش ماشین دست دوم,0,0.0,0,0.0,13,1.2,41,1.2,46,1.2,53,1.8,88,2.7,29,2.4,42,2.3,36,2.1,23,3.0,50,2.4,16,2.9,20,2.2,7,1.7
فروش,سایت فروش خودرو,0,0.0,4,1.3,76,1.1,304,1.4,487,2,760,2.7,471,2.7,533,2.5,417,1.9,365,2.6,291,2.2,441,2.3,306,2.2,328,2.5,258,2.7
فروش,سایت فروش ماشین,1,2.0,1,2.0,54,1,205,1.3,229,2.2,262,2.4,238,2.8,277,2.3,195,2.2,252,2.5,177,2.1,204,2.3,154,2,193,2,153,2.2
فروش,خریدار خودرو,1,18.0,3,7.3,7,8,9,4.6,5,6.4,38,7.4,65,8.7,14,6.6,34,6.5,13,3.8,11,4.1,38,7.2,9,7.3,22,5.2,32,5.3
فروش,فروش ماشین پول لازم,1,1.0,0,0.0,4,1.3,4,1,15,1.1,9,1,18,1,10,1.1,16,1.2,24,1.5,5,1.2,1,1,11,1,7,1.3,11,1.3
,Total / Weighted Average,62,3.94,87,1.96,"1,633",2.51,"4,154",2.55,"6,055",3.22,"8,380",3.95,"5,968",4.63,"6,280",4.38,"5,652",4.17,"4,777",4.37,"4,509",4.11,"4,526",4.21,"3,812",3.98,"4,411",4.26,"3,565",3.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
قیمت ,قیمت خودرو,408,3.7,465,3.7,"31,751",3.9,"76,199",5.6,"221,148",6.7,"233,041",5,"136,301",5,"130,499",5,"127,031",5.9,"111,402",6.7,"92,275",7.1,"197,778",7.4,"107,497",7.3,"117,973",7.3,"81,489",7.2
قیمت ,قیمت روز خودرو,383,3.3,716,3.0,"32,077",3.2,"132,070",4.1,"371,396",4.6,"250,796",2.9,"122,406",3.4,"128,091",4.3,"145,335",4.7,"161,271",5.3,"147,642",5.8,"280,681",6.4,"155,614",6.2,"171,320",6.5,"126,357",6.2
قیمت ,قیمت خودرو امروز,112,2.4,149,2.6,"5,390",3.5,"16,459",3.6,"56,564",4.9,"51,183",2.9,"26,063",3.98,"20,055",3.91,"25,722",3.8,"26,439",4,"22,853",5,"71,433",5.7,"30,924",5,"32,102",5.4,"23,079",5.5
قیمت ,قیمت روز خودرو کارخانه و بازار,153,2.4,210,2.6,"19,011",2,"19,975",2.3,"31,730",3,"52,870",2.2,"20,436",1.96,"10,231",1.54,"12,197",2.23,"11,618",1.92,"9,174",2.2,"23,630",2.2,"12,941",2.2,"11,861",2.1,"9,271",1.9
تخمین قیمت,تخمین قیمت خودرو,41,2.4,136,1.4,"4,680",1.3,"16,916",1.2,"35,354",1.3,"27,118",2.1,"22,440",2.5,"20,892",2.6,"16,974",2.6,"15,722",2.6,"14,879",2.5,"15,098",2.6,"12,091",2.7,"13,849",2.7,"13,262",2.7
تخمین قیمت,قیمت خودرو کارکرده,54,2.4,89,2.5,"4,707",2.3,"11,003",1.9,"22,811",2,"16,086",2.1,"11,908",2.4,"10,542",3.2,"9,058",3.5,"8,271",4.1,"7,503",4.5,"9,819",4.6,"6,934",3.6,"7,415",3.3,"6,558",3
تخمین قیمت,قیمت روز خودرو کارکرده,3,1.0,3,1.0,88,1.9,291,1.9,635,2,450,2,335,2.1,333,2.6,283,3.1,309,3.2,288,3,354,3.1,226,3.1,255,3.3,236,3.2
تخمین قیمت,تخمین قیمت خودرو کارکرده,20,1.1,23,1.0,914,1,"3,002",1.1,"5,592",1.1,"3,812",1.5,"3,012",2.4,"2,781",2.5,"2,378",2.6,"2,857",2.6,"3,244",2.4,"2,738",2.6,"2,222",2.7,"2,863",2.7,"2,490",2.7
,Total / Weighted Average,"1,174",3.12,"1,791",2.93,"98,618",3.06,"275,915",4.05,"745,230",4.91,"635,356",3.39,"342,901",3.90,"323,424",4.43,"338,978",4.83,"337,889",5.36,"297,858",5.79,"601,531",6.35,"328,449",6.10,"357,638",6.27,"262,742",6.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Category Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
